abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite,chebi_accession,SOURCE,name,definition,InChI
875,ile_L,73-32-5,17191.0,"Human Metabolome Database (HMDB): Branched chain amino acids (BCAA) are essential amino acids whose carbon structure is marked by a branch point. These three amino acids are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. ""BCAA"" denotes valine, isoleucine and leucine which are branched chain essential amino acids. Despite their structural similarities, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates, leucine solely to fats and isoleucine to both. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. BCAA are decreased in patients with liver disease, such as hepatitis, hepatic coma, cirrhosis, extrahepatic biliary atresia or portacaval shunt; aromatic amino acids (AAA)-tyrosine, tryptophan and phenylalanine, as well as methionine-are increased in these conditions. Valine, in particular, has been established as a useful supplemental therapy to the ailing liver. All the BCAA probably compete with AAA for absorption into the brain. Supplemental BCAA with vitamin B6 and zinc help normalize the BCAA:AAA ratio. The BCAA are not without side effects. Leucine alone, for example, exacerbates pellagra and can cause psychosis in pellagra patients by increasing excretion of niacin in the urine. Leucine may lower brain serotonin and dopamine. A dose of 3 g of isoleucine added to the niacin regime has cleared leucine-aggravated psychosis in schizophrenic patients. Isoleucine may have potential as an antipsychotic treatment. Leucine is more highly concentrated in foods than other amino acids. A cup of milk contains 800 mg of leucine and only 500 mg of isoleucine and valine. A cup of wheat germ has about 1.6 g of leucine and 1 g of isoleucine and valine. The ratio evens out in eggs and cheese. One egg and an ounce of most cheeses each contain about 400 mg of leucine and 400 mg of valine and isoleucine. The ratio of leucine to other BCAA is greatest in pork, where leucine is 7 to 8 g and the other BCAA together are only 3 to 4 g (http://www.dcnutrition.com). Moreover, L-isoleucine is found to be associated with maple syrup urine disease, which is an inborn error of metabolism.",L-Isoleucine,HMDB0000172,b,b,C00407,ILE,FDB012397,ile_L,[H]C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],AGPKZVBTJJNPAG-WHFBIAKZSA-N,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",CHEBI:17191,ChEBI,L-isoleucine,The L-enantiomer of isoleucine.,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1"
876,im4ac,645-65-8,16974.0,Human Metabolome Database (HMDB): Imidazoleacetic acid is a metabolite product of Histamine metabolism. It is present in normal urine and increased in histidinemic patients. (PMID 6530403).,Imidazoleacetic acid,HMDB0002024,b,b,C02835,4-IMIDAZOLEACETATE,FDB012464,im4ac,[H]N1C([H])=NC(=C1[H])C([H])([H])C([O-])=O,PRJKNHOMHKJCEJ-UHFFFAOYSA-M,"InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)/p-1",CHEBI:57969,Rhea,imidazol-4-ylacetate,Conjugate base of imidazol-4-ylacetic acid; major species at pH 7.3.,"InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)/p-1"
877,im4act,645-14-7,27398.0,"Human Metabolome Database (HMDB): Imidazole-4-acetaldehyde is a naturally occurring aldehyde metabolite of histamine formed by the action of histaminase (E.C. 1.4.3.6), and can be synthesized by oxidation of histidine. Aldehyde dehydrogenase (EC 1.2.1.3) is the only enzyme in the human liver capable of catalyzing dehydrogenation of aldehydes arising via monoamine, diamine, and plasma amine oxidases. NAD-linked dehydrogenation of short chain aliphatic aldehydes has been found in virtually every organ of the mammalian body. Imidazole-4-acetaldehyde is a good substrate for all aldehyde dehydrogenase isozymes. Experimentally, the prebiotic formation of histidine has been accomplished by the reaction of erythrose with formamidine followed by a Strecker synthesis. Imidazole-4-acetaldehyde could have been converted to histidine on the primitive earth by a Strecker synthesis, and several prebiotic reactions could convert imidazole-4-glycol and imidazole-4-ethanol to imidazole-4-acetaldehyde. (PMID: 2071588, 2957640, 11536478).",Imidazole-4-acetaldehyde,HMDB0003905,b,b,C05130,b,FDB023247,im4act,[H]N1C([H])=NC(=C1[H])C([H])([H])C([H])=O,MQSRGWNVEZRLDK-UHFFFAOYSA-N,"InChI=1S/C5H6N2O/c8-2-1-5-3-6-4-7-5/h2-4H,1H2,(H,6,7)",CHEBI:27398,ChEBI,imidazole-4-acetaldehyde,y,"InChI=1S/C5H6N2O/c8-2-1-5-3-6-4-7-5/h2-4H,1H2,(H,6,7)"
878,imogly,b,53647.0,b,Iminoglycine,b,b,b,C15809,b,b,b,b,b,"InChI=1S/C2H3NO2/c3-1-2(4)5/h1,3H,(H,4,5)",CHEBI:53647,SUBMITTER,dehydroglycine,A dehydroamino acid derived from glycine.,"InChI=1S/C2H3NO2/c3-1-2(4)5/h1,3H,(H,4,5)"
879,imogly,b,53647.0,b,Iminoglycine,b,b,b,C15809,b,b,b,b,b,"InChI=1S/C2H3NO2/c3-1-2(4)5/h1,3H,(H,4,5)",CHEBI:77846,SUBMITTER,dehydroglycine zwitterion,A zwitterion obtained by transfer of a proton from the carboxy to the imino group of dehydroglycine. It is the major microspecies at pH 7.3 (according to Marvin v 6.2.0.).,"InChI=1S/C2H3NO2/c3-1-2(4)5/h1,3H,(H,4,5)"
880,imp,131-99-7,17202.0,Human Metabolome Database (HMDB): Inosinic acid is a purine nucleotide which has hypoxanthine as the base and one phosphate group esterified to the sugar moiety. Inosinic acid is a nucleotide present in muscle and other tissues. It is formed by the deamination of AMP and when hydrolysed produces inosine. Inosinic acid is the ribonucleotide of hypoxanthine and is the first compound formed during the synthesis of purine. (Wikipedia).,Inosinic acid,HMDB0000175,b,b,C00130,IMP,FDB021901,imp,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP([O-])([O-])=O)[C@@]1([H])O[H])N1C([H])=NC2=C1N=C([H])N([H])C2=O,GRSZFWQUAKGDAV-KQYNXXCUSA-L,"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1",CHEBI:58053,Rhea,IMP(2-),A nucleoside 5'-monophosphate(2-) that results from the removal of two protons from the phosphate group of IMP; major species at pH 7.3.,"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1"
881,ind3ac,87-51-4,16411.0,"Human Metabolome Database (HMDB): Indoleacetic acid (IAA) is a breakdown product of tryptophan metabolism and is often produced by the action of bacteria in the mammalian gut. Some endogenous production of IAA in mammalian tissues also occurs. It may be produced by the decarboxylation of tryptamine or the oxidative deamination of tryptophan. IAA frequently occurs at low levels in urine and has been found in elevated levels in the urine of patients with phenylketonuria ((PMID: 13610897). Using material extracted from human urine, it was discovered by Kogl in 1933 that Indoleacetic acid is also an important plant hormone (PMID: 13610897). Specifically IAA is a member of the group of phytohormones called auxins. IAA is generally considered to be the most important native auxin. Plant cells synthesize IAA from tryptophan. (wikipedia) IAA and some derivatives can be oxidised by horseradish peroxidase (HRP) to cytotoxic species. IAA is only toxic after oxidative decarboxylation; the effect of IAA/HRP is thought to be due in part to the formation of methylene-oxindole, which may conjugate with DNA bases and protein thiols. IAA/HRP could be used as the basis for targeted cancer, a potential new role for plant auxins in cancer therapy. (PMID: 11163327).",Indoleacetic acid,HMDB0000197,b,b,C00954,b,FDB000933,ind3ac,[H]N1C([H])=C(C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C([O-])=O,SEOVTRFCIGRIMH-UHFFFAOYSA-M,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)/p-1",CHEBI:30854,ChEBI,indole-3-acetate,An indol-3-yl carboxylic acid anion that is the conjugate base of indole-3-acetic acid.,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)/p-1"
882,ind56qn,582-59-2,b,b,"Indole-5,6-Quinone",b,b,b,b,b,b,ind56qn,[H]N1C([H])=C([H])C2=C([H])C(=O)C(=O)C([H])=C12,IGGVVGHJSQSLFO-UHFFFAOYSA-N,"InChI=1S/C8H5NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h1-4,9H",CHEBI:27406,ChEBI,"indole-5,6-quinone",y,"InChI=1S/C8H5NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h1-4,9H"
883,M03163,b,27406.0,"Human Metabolome Database (HMDB): Indole-5,6-quinone is involved in the tyrosine metabolism pathway. More specifically, indole-5,6-quinone is an intermediate in the production of melanin. Indole-5,6-quinone is produced from 5,6-dihydroxyindole by tyrosinase [EC:1.14.18.1].","Indole-5,6-quinone",HMDB0006779,b,b,C05579,b,FDB024077,b,[H]N1C([H])=C([H])C2=C([H])C(=O)C(=O)C([H])=C12,IGGVVGHJSQSLFO-UHFFFAOYSA-N,"InChI=1S/C8H5NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h1-4,9H",CHEBI:27406,ChEBI,"indole-5,6-quinone",y,"InChI=1S/C8H5NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h1-4,9H"
884,indole,120-72-9,16881.0,"Human Metabolome Database (HMDB): Indole is an aromatic heterocyclic organic compound. It has a bicyclic structure, consisting of a six-membered benzene ring fused to a five-membered nitrogen-containing pyrrole ring. It can be produced by bacteria as a degradation product of the amino acid tryptophan. It occurs naturally in human feces and has an intense fecal smell. At very low concentrations, however, it has a flowery smell, and is a constituent of many flower scents (such as orange blossoms) and perfumes. Natural jasmine oil, used in the perfume industry, contains around 2.5% of indole. Indole also occurs in coal tar. The participation of the nitrogen lone electron pair in the aromatic ring means that indole is not a base, and it does not behave like a simple amine.",Indole,HMDB0000738,b,b,C00463,INDOLE,FDB012008,b,[H]N1C([H])=C([H])C2=C1C([H])=C([H])C([H])=C2[H],SIKJAQJRHWYJAI-UHFFFAOYSA-N,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",CHEBI:16881,ChEBI,1H-indole,y,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H"
885,inds,b,b,b,Indoxyl Sulfate,b,b,b,b,b,b,b,[H]N1C([H])=C(OS([O-])(=O)=O)C2=C([H])C([H])=C([H])C([H])=C12,BXFFHSIDQOFMLE-UHFFFAOYSA-M,"InChI=1S/C8H7NO4S/c10-14(11,12)13-8-5-9-7-4-2-1-3-6(7)8/h1-5,9H,(H,10,11,12)/p-1",CHEBI:144643,SUBMITTER,indoxyl sulfate(1-),"An  aryl sulfate oxoanion that is the conjugate base of indoxyl sulfate, obtained by deprotonation of the sulfo group; major species at pH 7.3.","InChI=1S/C8H7NO4S/c10-14(11,12)13-8-5-9-7-4-2-1-3-6(7)8/h1-5,9H,(H,10,11,12)/p-1"
886,inost,87-89-8,17268.0,"Human Metabolome Database (HMDB): myo-Inositol is an inositol isoform. Inositol is a derivative of cyclohexane with six hydroxyl groups, making it a polyol. It also is known as a sugar alcohol, having exactly the same molecular formula as glucose or other hexoses. Inositol exists in nine possible stereoisomers, of which cis-1,2,3,5-trans-4,6-cyclohexanehexol, or myo-inositol is the most widely occurring form in nature. The other known inositols include scyllo-inositol, muco-inositol, D-chiro-inositol, L-chiro-inositol, neo-inositol, allo-inositol, epi-inositol and cis-inositol. myo-Inositol is found naturally in many foods (particularly in cereals with high bran content) and can be used as a sweetner as it has half the sweetness of sucrose (table sugar). myo-Inositol was once considered a member of the vitamin B complex and given the name: vitamin B8. However, because it is produced by the human body from glucose, it is not an essential nutrient, and therefore cannot be called a vitamin. myo-Inositol is a precursor molecule for a number of secondary messengers including various inositol phosphates. In addition, inositol/myo-inositol is an important component of the lipids known as phosphatidylinositol (PI) phosphatidylinositol phosphate (PIP). myo-Inositol is synthesized from glucose, via glucose-6-phosphate (G-6-P) in two steps. First, G-6-P is isomerised by an inositol-3-phosphate synthase enzyme to myo-inositol 1-phosphate, which is then dephosphorylated by an inositol monophosphatase enzyme to give free myo-inositol. In humans, myo-inositol is primarily synthesized in the kidneys at a rate of a few grams per day. myo-Inositol can be used in the management of preterm babies who have or are at a risk of infant respiratory distress syndrome. It is also used as a treatment for polycystic ovary syndrome (PCOS). It works by increasing insulin sensitivity, which helps to improve ovarian function and reduce hyperandrogenism. Reduced levels of myo-inositol have been found in the spinal fluid of depressed patients and levels are significantly reduced in brain samples of suicide victims.",myo-Inositol,HMDB0000211,b,b,C00137,MYO-INOSITOL,FDB010547,inost,[H]O[C@@]1([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H],CDAISMWEOUEBRE-GPIVLXJGSA-N,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-",CHEBI:17268,ChEBI,myo-inositol,An inositol having myo- configuration.,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-"
887,ins,58-63-9,17596.0,"Human Metabolome Database (HMDB): Inosine is a purine nucleoside that has hypoxanthine linked by the N9 nitrogen to the C1 carbon of ribose. It is an intermediate in the degradation of purines and purine nucleosides to uric acid and in pathways of purine salvage. It also occurs in the anticodon of certain transfer RNA molecules (Dorland, 28th ed). Inosine is found to be associated with purine nucleoside phosphorylase deficiency and xanthinuria type I, which are inborn errors of metabolism.",Inosine,HMDB0000195,b,b,C00294,INOSINE,FDB011802,ins,[H]OC1=C2N=C([H])N(C2=NC([H])=N1)[C@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],UGQMRVRMYYASKQ-KQYNXXCUSA-N,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",CHEBI:17596,ChEBI,inosine,A purine nucleoside in which hypoxanthine is attached to ribofuranose via a beta-N(9)-glycosidic bond.,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1"
888,iodine,7553-56-2,17606.0,"Human Metabolome Database (HMDB): Iodine is an essential trace element. Chemically, iodine is the least reactive of the halogens, and the most electropositive halogen after astatine. However, iodine does not occur in the free state in nature. As with all other halogens , when freed from its compounds iodine forms diatomic molecules (I2). Iodine and its compounds are primarily used in medicine, photography, and dyes. Iodine is required for the production of thyroid hormones, which are essential for normal brain development, and the fetus, newborn, and young child are particularly vulnerable to iodine deficiency. Physiologically, iodine exists as an ion in the body. The iodine requirement increases during pregnancy and recommended intakes are in the range of 220-250 microg/day. Monitoring iodine status during pregnancy is a challenge. New recommendations from World Health Organization suggest that a median urinary iodine concentration >250 microg/L and <500 microg/L indicates adequate iodine intake in pregnancy. Based on this range, it appears that many pregnant women in have inadequate intakes. Thyroid-stimulating hormone concentration in the newborn is a sensitive indicator of mild iodine deficiency in late pregnancy. The potential adverse effects of mild iodine deficiency during pregnancy are uncertain. Controlled trials of iodine supplementation in mildly iodine-deficient pregnant women suggest beneficial effects on maternal and newborn serum thyroglobulin and thyroid volume, but no effects on maternal and newborn total or free thyroid hormone concentrations. There are no long-term data on the effect of iodine supplementation on birth outcomes or infant development. New data from well-controlled studies indicate that iodine repletion in moderately iodine-deficient school-age children has clear benefits: it improves cognitive and motor function; it also increases concentrations of insulin-like growth factor 1 and insulin-like growth factor-binding protein 3, and improves somatic growth. (PMID: 17956157).",Iodine,HMDB0000675,b,b,C01382,IODINE-MOLECULE,FDB003635,iodine,II,PNDPGZBMCMUPRI-UHFFFAOYSA-N,InChI=1S/I2/c1-2,CHEBI:17606,ChEBI,diiodine,Molecule comprising two covalently bonded iodine atoms with overall zero charge..,InChI=1S/I2/c1-2
889,ipdp,358-71-4,16584.0,"Human Metabolome Database (HMDB): Isopentenyl pyrophosphate, IPP or isopentenyl diphosphate, is an intermediate in the HMG-CoA reductase pathway used by organisms in the biosynthesis of terpenes and terpenoids. IPP is formed from Mevalonate-5-pyrophosphate, in a reaction catalyzed by the enzyme mevalonate-5-pyrophosphate decarboxylase. (wikipedia).",Isopentenyl pyrophosphate,HMDB0001347,b,b,C00129,b,FDB022569,ipdp,[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])OP([O-])(=O)OP([O-])([O-])=O,NUHSROFQTUXZQQ-UHFFFAOYSA-K,"InChI=1S/C5H12O7P2/c1-5(2)3-4-11-14(9,10)12-13(6,7)8/h1,3-4H2,2H3,(H,9,10)(H2,6,7,8)/p-3",CHEBI:128769,ChEMBL,isopentenyl diphosphate(3-),An organophosphate oxoanion that is the trianion of isopentenyl diphosphate arising from deprotonation of the three OH groups of the diphosphate.,"InChI=1S/C5H12O7P2/c1-5(2)3-4-11-14(9,10)12-13(6,7)8/h1,3-4H2,2H3,(H,9,10)(H2,6,7,8)/p-3"
890,isomal,499-40-1,28189.0,"Human Metabolome Database (HMDB): Isomaltose is a naturally occurring disaccharide composed of two glucose units in an alpha (1-6) glycosidic linkage. -- Pubchem. A deficiency of sucrase-isomaltase, an integral protein of the small intestine brush-border membrane responsible for catalyzing the hydrolysis of dietary sucrose and some of the products of starch digestion, results in osmotic diarrhea when the disaccharide is ingested, because absorption cannot occur until after hydrolysis produces the component monosaccharides. (OMIM 222800,). It is particularly suitable as a non-cariogenic sucrose replacement and is favorable in products for diabetics and prediabetic dispositions. --Wikipedia.",Isomaltose,HMDB0002923,b,b,C00252,CPD-1243,FDB001220,isomal,b,DLRVVLDZNNYCBX-RTPHMHGBSA-N,"InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11?,12+/m1/s1",CHEBI:28189,ChEBI,isomaltose,A glycosylglucose consisting of two D-glucopyranose units connected by an alpha-(1->6)-linkage.,"InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11?,12+/m1/s1"
891,itaccoa,6008-93-1,15528.0,"Human Metabolome Database (HMDB): Itaconyl-CoA is an intermediate metabolite in the degradation pathway of itaconic acid, an unsaturated dicarbonic organic acid. Citramalyl coenzyme A (CoA) is found to be the intermediate in the conversion of itaconyl-Co-A to acetyl-CoA and pyruvate, catalyzed by methylglutaconase. Methylglutaconase catalyzes the interconversion of itaconyl-, mesaconyl-, and citramalyl-CoA. In liver mitochondria, methylglutaconase converts itaconate to pyruvate and acetyl coenzyme A. In this metabolic process, itaconate is first activated to itaconyl-CoA by a succinate activating enzyme, and a CoA derivative is cleaved to acetyl-CoA and pyruvate. (PMID: 13783048, 11548996).",Itaconyl-CoA,HMDB0003377,b,b,C00531,3-METHYLPHENYLITACONYL-COA,FDB023158,itaccoa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C(=C([H])[H])C([O-])=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,NFVGYLGSSJPRKW-CITAKDKDSA-I,"InChI=1S/C26H40N7O19P3S/c1-13(25(39)40)8-16(35)56-7-6-28-15(34)4-5-29-23(38)20(37)26(2,3)10-49-55(46,47)52-54(44,45)48-9-14-19(51-53(41,42)43)18(36)24(50-14)33-12-32-17-21(27)30-11-31-22(17)33/h11-12,14,18-20,24,36-37H,1,4-10H2,2-3H3,(H,28,34)(H,29,38)(H,39,40)(H,44,45)(H,46,47)(H2,27,30,31)(H2,41,42,43)/p-5/t14-,18-,19-,20+,24-/m1/s1",CHEBI:57381,Rhea,itaconyl-CoA(5-),"Pentaanion of itaconyl-CoA arising from deprotonation of phosphate, diphosphate and carboxylic acid functions.","InChI=1S/C26H40N7O19P3S/c1-13(25(39)40)8-16(35)56-7-6-28-15(34)4-5-29-23(38)20(37)26(2,3)10-49-55(46,47)52-54(44,45)48-9-14-19(51-53(41,42)43)18(36)24(50-14)33-12-32-17-21(27)30-11-31-22(17)33/h11-12,14,18-20,24,36-37H,1,4-10H2,2-3H3,(H,28,34)(H,29,38)(H,39,40)(H,44,45)(H,46,47)(H2,27,30,31)(H2,41,42,43)/p-5/t14-,18-,19-,20+,24-/m1/s1"
892,itacon,97-65-4,30838.0,"Human Metabolome Database (HMDB): Itaconic acid is an intermediate in the C5-Branched dibasic acid metabolism, a substrate for the enzyme Succinate-CoA ligase (ADP-forming) (EC:6.2.1.5)(Kegg).",Itaconic acid,HMDB0002092,b,b,C00490,ITACONATE,FDB012645,itacon,[H]C([H])=C(C([O-])=O)C([H])([H])C([O-])=O,LVHBHZANLOWSRM-UHFFFAOYSA-L,"InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)/p-2",CHEBI:17240,ChEBI,itaconate(2-),A dicarboxylic acid dianion that results from the deprotonation of both of the carboxylic acid groups of itaconic acid.,"InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)/p-2"
